mode,query_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
conditioned,heldout,1,20,0.2,0.05,0.4,0.2,0.05,0.4,0.2931,0.1401,0.469
conditioned,heldout,3,20,0.1,0.0,0.25,0.1,0.0,0.25,0.2151,0.105,0.3484
conditioned,heldout,5,20,0.25,0.1,0.45,0.25,0.1,0.45,0.3273,0.1737,0.4907
conditioned,target,1,20,0.7,0.5,0.9,0.8295,0.6734,0.9522,0.7381,0.6108,0.8487
conditioned,target,3,20,0.4,0.2,0.6,0.6131,0.4301,0.7825,0.5989,0.4766,0.716
conditioned,target,5,20,0.25,0.1,0.45,0.5036,0.3249,0.6797,0.5586,0.4092,0.6982
direct,heldout,0,20,0.95,0.85,1.0,0.97,0.91,1.0,0.9463,0.8847,0.9916
direct,target,0,20,0.65,0.45,0.85,0.8278,0.6944,0.9389,0.7887,0.6874,0.8817
generic,heldout,1,20,0.55,0.35,0.75,0.5924,0.3758,0.8,0.6703,0.5071,0.8211
generic,heldout,3,20,0.55,0.35,0.75,0.5833,0.35,0.7833,0.6496,0.4742,0.8098
generic,heldout,5,20,0.5,0.3,0.7,0.5733,0.35,0.7733,0.6249,0.4307,0.7985
generic,target,1,20,0.4,0.2,0.6,0.5348,0.3432,0.725,0.5526,0.4073,0.6958
generic,target,3,20,0.35,0.15,0.55,0.5217,0.325,0.7134,0.5706,0.4263,0.7131
generic,target,5,20,0.3,0.1,0.5,0.4799,0.2966,0.6632,0.5106,0.3675,0.6445
