policy,budget_words,metric,u_now,u_future,cost_words,dominated,dominated_by,dominated_within_budget
conditioned,20,judge_correct,0.8645833333333334,0.17708333333333334,18.46875,False,,False
conditioned,40,judge_correct,0.8229166666666666,0.2604166666666667,36.65625,False,,True
conditioned,80,judge_correct,0.8125,0.3368055555555555,73.23958333333333,True,extractive_conditioned@80w;oracle@40w;reusable@80w,True
conditioned,160,judge_correct,0.8020833333333334,0.5277777777777778,143.11458333333334,True,extractive_conditioned@160w;oracle@40w;oracle@80w,True
extractive_conditioned,20,judge_correct,0.7395833333333334,0.15625,18.59375,True,conditioned@20w;reusable@20w,True
extractive_conditioned,40,judge_correct,0.7916666666666666,0.2847222222222222,36.822916666666664,False,,True
extractive_conditioned,80,judge_correct,0.90625,0.45833333333333326,70.92708333333333,False,,False
extractive_conditioned,160,judge_correct,0.8645833333333334,0.7708333333333334,141.42708333333334,True,oracle@80w,True
extractive_generic,20,judge_correct,0.3541666666666667,0.3541666666666667,18.916666666666668,True,oracle@20w,True
extractive_generic,40,judge_correct,0.4270833333333333,0.4270833333333333,37.416666666666664,True,oracle@20w,True
extractive_generic,80,judge_correct,0.6145833333333334,0.6145833333333334,73.33333333333333,True,oracle@40w,True
extractive_generic,160,judge_correct,0.8541666666666666,0.8541666666666666,143.75,True,oracle@160w;oracle@80w,True
generic,20,judge_correct,0.23958333333333334,0.23958333333333334,18.708333333333332,True,oracle@20w,True
generic,40,judge_correct,0.375,0.375,37.125,True,oracle@20w,True
generic,80,judge_correct,0.53125,0.53125,71.91666666666667,True,oracle@40w,True
generic,160,judge_correct,0.6979166666666666,0.6979166666666666,141.41666666666666,True,oracle@40w;oracle@80w,True
oracle,20,judge_correct,0.4895833333333333,0.4895833333333333,18.125,False,,False
oracle,40,judge_correct,0.8229166666666666,0.8229166666666666,37.916666666666664,False,,False
oracle,80,judge_correct,0.8854166666666666,0.8854166666666666,73.83333333333333,False,,False
oracle,160,judge_correct,0.8958333333333334,0.8958333333333334,143.375,False,,False
reusable,20,judge_correct,0.7916666666666666,0.17361111111111108,18.5625,True,conditioned@20w,True
reusable,40,judge_correct,0.8020833333333334,0.2708333333333333,36.333333333333336,False,,True
reusable,80,judge_correct,0.8541666666666666,0.4236111111111111,73.22916666666667,True,extractive_conditioned@80w,True
reusable,160,judge_correct,0.90625,0.6006944444444444,143.5625,False,,False
