mode,query_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
conditioned,heldout,1,2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0293,-0.0554,-0.0032
conditioned,heldout,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.1483,0.3696
conditioned,heldout,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,-0.0554,0.1483
conditioned,target,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
conditioned,target,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
conditioned,target,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
direct,heldout,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
direct,target,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
generic,heldout,1,2,0.0,0.0,0.0,0.25,0.0,0.5,0.0787,-0.0032,0.1606
generic,heldout,3,2,0.0,0.0,0.0,0.25,0.0,0.5,0.045,-0.0032,0.0932
generic,heldout,5,2,0.0,0.0,0.0,0.25,0.0,0.5,0.0846,0.076,0.0932
generic,target,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
generic,target,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
generic,target,5,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
